question,expected_answer,ground_truth_chunk_ids,review_status,hop_type
"Theo các bài hướng dẫn VinFast, đối với xe máy điện dùng pin LFP và Vento thì hạn chót thanh toán phí thuê pin của tháng trước là khi nào, còn với ô tô điện thì người dùng tra cứu chi phí từng lần sạc (gồm cả phụ phí) ở mục nào của ứng dụng?","Với xe máy điện chạy pin LFP và Vento, áp dụng thanh toán TRẢ SAU: toàn bộ chi phí thuê pin của tháng trước phải hoàn thành muộn nhất ngày 5 của tháng tiếp theo. Với ô tô điện, người dùng vào mục 'Lịch sử sạc' (Bước 3: bấm vào một lịch sạc cụ thể) để xem chi tiết thời gian, địa điểm, chi phí sạc và phụ phí sạc (nếu có).","url_2f24a1b20627_1-3-m-t-s-l-u-khi-thanh-to-n-chi-ph-thu-pin-xe-m-y-i-n-vinfast_c001,url_5c078d94d02b_3-h-ng-d-n-s-d-ng-ng-d-ng-vinfast-cho-t-i-n-qu-n-l-t-nh-n-ng-pin-v-s-c_c002",approved,relational
"Tổng cộng có bao nhiêu trạm sạc VinFast được liệt kê cho hai huyện/quận Ba Vì và Ba Đình ở Hà Nội theo các bảng danh sách, và trong đó trạm nào ở Ba Đình phục vụ cả ô tô điện lẫn xe máy điện?","Ba Vì có 4 trạm (Trạm dừng nghỉ Sữa Ất Thảo 2; Trạm dừng nghỉ sữa Chị Vàng xã Tản Lĩnh; Cửa hàng xăng dầu Phú Sơn; TTTM Lan Chi Ba Vì). Ba Đình liệt kê 5 mục (1 Khách sạn La Thành, 2 Vincom Center Metropolis, 3-5 Vinhomes Metropolis). Tổng cộng 4 + 5 = 9 trạm/mục được liệt kê. Trạm ở Ba Đình phục vụ cả ô tô điện và xe máy điện là Vincom Center Metropolis (số 29 Liễu Giai).","url_aae5676e6175_2-2-danh-s-ch-tr-m-s-c-vinfast-huy-n-ba-v-tp-h-n-i_c001,url_aae5676e6175_2-1-danh-s-ch-tr-m-s-c-vinfast-qu-n-ba-nh-tp-h-n-i_c001",approved,aggregation
"Theo cập nhật ESHIA, mục tiêu công suất sản xuất ô tô hằng năm của Tổ hợp VinFast tại Hải Phòng đã thay đổi như thế nào từ bản 9/2020 sang bản 5/2025, và dự án này được khánh thành vào năm nào?","Mục tiêu công suất ô tô giảm từ 'đến 1 triệu xe ô tô' (bản ESHIA 9/2020) xuống 'đến 500 nghìn xe ô tô' (cập nhật 5/2025), tức giảm một nửa. Dự án được khánh thành vào năm 2019.","url_b694fad2baba_1-c-p-nh-t-chung_c001,url_b694fad2baba_c-ng-b-th-ng-tin-d-n-t-h-p-s-n-xu-t-t_c001",approved,multi_step
"Trong ba mẫu xe điện Minio Green, Herio Green và Limo Green, mẫu nào có quãng đường di chuyển 1 lần sạc đầy xa nhất theo tiêu chuẩn NEDC, và quãng đường đó là bao nhiêu km?","Limo Green xa nhất với 450 km (NEDC). So sánh: Minio Green 210 km, Herio Green 326 km, Limo Green 450 km.","url_979c49b59ecf_minio-green_c001,url_979c49b59ecf_herio-green_c001,url_979c49b59ecf_limo-green_c001",approved,comparison
"Trong các công cụ hỗ trợ khách hàng trên website VinFast, công cụ 'Chi phí lăn bánh' dùng để làm gì và quy trình tính giá lăn bánh gồm mấy bước?","Công cụ 'Chi phí lăn bánh' dùng để tính toán các chi phí liên quan của xe đến thời điểm lăn bánh (giá xe, ưu đãi, phí đăng ký, đăng kiểm, phí bảo trì, bảo hiểm...). Quy trình tính giá lăn bánh gồm 5 bước (chọn mẫu xe, chọn phiên bản, chọn tỉnh/thành phố, chọn phương thức thanh toán, màn hình hiển thị giá).","url_677777284d5f_vinfast-hi-n-c-nh-ng-c-ng-c-h-tr-kh-ch-h-ng-n-o_c001,url_677777284d5f_l-m-sao-t-nh-gi-l-n-b-nh-xe-vinfast_c001",approved,relational
"Nếu một khách hàng trúng cả ba giải ô tô điện trong chương trình 'Chuyển đổi xanh - Rinh ngay VF 7' (VF 7 Eco, VF 5 Plus, VF 3), thì tổng trị giá ba xe đó vẫn còn thấp hơn hay cao hơn giá khởi điểm niêm yết của một chiếc VinFast VF 8?","Tổng trị giá ba xe ô tô điện trúng thưởng là 799 + 529 + 299 = 1.627 triệu đồng (1,627 tỷ), cao hơn giá khởi điểm niêm yết của VinFast VF 8 là 1,106 tỷ đồng (VF 8 Eco không kèm pin). Tức cao hơn khoảng 521 triệu đồng.","url_0b7e7f59ae8f_vinfast-t-ng-27-5-t-ng-cho-kh-ch-h-ng-mua-xe-m-y-i-n_c001,url_44b5f1b8f060_2-vinfast-vf-8-gi-bao-nhi-u-gi-xe-vf-8-ni-m-y-t-v-l-n-b-nh-2024_c001",approved,aggregation
"VinFast dừng cung cấp dịch vụ cho thuê pin ô tô điện từ ngày nào, và với khách ô tô điện vẫn đang thuê pin thì hạn chót thanh toán cước thuê pin hàng tháng là ngày bao nhiêu?","VinFast chính thức dừng cung cấp dịch vụ cho thuê pin đối với ô tô điện kể từ ngày 01/03/2025; khách hàng đang thuê vẫn dùng tiếp được. Với ô tô điện, cước thuê pin phải thanh toán muộn nhất vào ngày 14 hàng tháng cho cước của tháng trước đó.","url_665d539547bb_d-ch-v-pin-t-i-n-vinfast_c001,url_8eb05fc580e3_c-u-h-i-th-ng-g-p-v-thu-pin-v-s-c-pin-t-i-n-vinfast_c001",approved,multi_step
So sánh công suất tối đa của động cơ điện giữa Minio Green và Limo Green; chênh lệch công suất giữa hai mẫu là bao nhiêu kW?,"Minio Green 30 kW, Limo Green 150 kW; chênh lệch 150 - 30 = 120 kW (Limo Green mạnh hơn).","url_979c49b59ecf_minio-green_c001,url_979c49b59ecf_limo-green_c001",approved,comparison
"Tài liệu nêu sạc nhanh ô tô điện rút thời gian sạc và sạc cấp tốc còn nhanh hơn; nhưng theo phần các yếu tố ảnh hưởng tuổi thọ pin, việc lạm dụng sạc nhanh gây hại gì cho pin?","Sạc nhanh có công suất 7kW-22kW, thời gian chỉ bằng 1/2 sạc tiêu chuẩn (khoảng 3-4 giờ), còn sạc cấp tốc từ 43kW trở lên chỉ mất 30-60 phút. Tuy nhiên, lạm dụng sạc nhanh ảnh hưởng trực tiếp đến chất lượng pin: khi sạc nhanh, hiện tượng tỏa nhiệt có thể gây phản ứng giữa các chất bên trong làm biến đổi thành phần, và thành phần mới tạo ra không có khả năng lưu trữ điện năng (làm giảm tuổi thọ pin).","url_9c13dfa9af91_5-h-ng-d-n-s-c-pin-xe-i-n-ng-c-ch_c001,url_9c13dfa9af91_4-c-c-y-u-t-nh-h-ng-tu-i-th-pin-t-i-n_c002",approved,relational
"Cộng dồn ba mức quãng đường khuyến cáo bảo dưỡng/kiểm tra định kỳ đầu tiên của ba nhóm xe VinFast: xe xăng Lux A2.0, xe điện VF e34, và xe máy điện VinFast thì tổng là bao nhiêu km?",Lux A2.0: 8.000km + VF e34: 12.000km + xe máy điện VinFast: 1.000km = 21.000km.,"url_ce7fadbe4cec_1-1-b-o-d-ng-xe-t-x-ng-vinfast_c001,url_ce7fadbe4cec_1-2-b-o-d-ng-xe-t-i-n-vinfast_c001,url_ce7fadbe4cec_2-c-c-b-ph-n-c-n-b-o-d-ng-nh-k-tr-n-xe-m-y-i-n-vinfast_c001",approved,aggregation
Mẫu ô tô điện được dùng làm giải thưởng có giá trị cao nhất trong chương trình 'Chuyển đổi xanh - Rinh ngay VF 7' có giá trị bằng khoảng bao nhiêu phần trăm so với giá niêm yết khởi điểm của VinFast VF 8?,"Giải ô tô điện có giá trị cao nhất là VinFast VF 7 Eco, trị giá 799 triệu đồng. Giá niêm yết khởi điểm của VF 8 (Eco không kèm pin) là 1.106 tỷ = 1.106 triệu đồng. Vậy 799 / 1.106 ≈ 72%, tức VF 7 Eco có giá bằng khoảng 72% giá khởi điểm của VF 8.","url_0b7e7f59ae8f_vinfast-t-ng-27-5-t-ng-cho-kh-ch-h-ng-mua-xe-m-y-i-n_c001,url_44b5f1b8f060_t-ng-quan-t-i-n-vinfast-vf-8-2024-th-ng-s-gi-b-n-u-i-chi-ti-t_c001",approved,multi_step
"Giữa Minio Green và Herio Green, mẫu nào có công suất sạc nhanh DC tối đa cao hơn và cao hơn cụ thể như thế nào?","Herio Green có sạc nhanh DC tối đa 50 kW, cao hơn Minio Green (sạc nhanh DC tối đa từ 24 kW trở lên). Herio Green cao hơn.","url_979c49b59ecf_minio-green_c001,url_979c49b59ecf_herio-green_c001",approved,comparison
"Cùng được hỗ trợ qua tổng đài hotline 1900 23 23 89, VinFast vừa cho phép khách hàng đăng ký mua xe theo những hình thức nào, vừa chấp nhận thanh toán xe máy điện theo những hình thức nào? Hãy liệt kê đầy đủ cả hai nhóm.","Hotline 1900 23 23 89 là điểm chung giữa hai nhóm. Về đăng ký/đặt mua, có 3 hình thức: (1) liên hệ tổng đài CSKH qua hotline 1900 23 23 89, (2) đăng ký trực tiếp tại Showroom/Đại lý VinFast, (3) qua website Vinfastauto.com. Về thanh toán xe máy điện, có 6 hình thức: (1) tiền mặt khi nhận xe, (2) thẻ quốc tế Visa/Master/JCB (qua Onepay hoặc Payoo), (3) thẻ ATM nội địa/Internet Banking, (4) chuyển khoản ngân hàng, (5) trả góp qua thẻ tín dụng, (6) trả góp qua công ty tài chính ACS, MCredit.","url_bc565884e819_ch-nh-s-ch-b-n-h-ng_c001,url_bc565884e819_t-i-c-th-thanh-to-n-xe-m-y-i-n-b-ng-nh-ng-h-nh-th-c-thanh-to-n-n-o_c001",approved,relational
Tài liệu nêu hai công trình kỷ lục của Vingroup gắn với thời gian thi công cực ngắn: khu nghỉ dưỡng Vinpearl Nha Trang và khu đô thị Vinhomes Riverside. Cộng tổng thời gian thi công được nêu của hai công trình này là bao nhiêu tháng?,Vinpearl Nha Trang được xây dựng chỉ trong 18 tháng. Vinhomes Riverside khởi công năm 2011 và chỉ sau 8 tháng đã hình thành. Tổng thời gian thi công nêu trong tài liệu là 18 + 8 = 26 tháng.,"url_3daea9e810b4_01_c001,url_3daea9e810b4_01_c003",approved,aggregation
"Một khách hàng ở Hải Phòng dùng ô tô điện VinFast: họ có thể đặt dịch vụ sửa chữa lưu động (Mobile Service) ngay tại Hải Phòng không, và nếu xe hết pin trên đường tại Hải Phòng thì có thuộc phạm vi cứu hộ pin 300.000 VNĐ của VinFast không?","Có thể dùng Mobile Service ở Hải Phòng vì Hải Phòng nằm trong 5 thành phố áp dụng (Hà Nội, TP. Hồ Chí Minh, Hải Phòng, Đà Nẵng, Cần Thơ). Nhưng cứu hộ pin 300.000 VNĐ chỉ áp dụng trong bán kính 100km tính từ cửa ngõ 3 thành phố Hà Nội, Đà Nẵng, Hồ Chí Minh — Hải Phòng KHÔNG nằm trong 3 thành phố này nên không thuộc phạm vi cứu hộ pin (trừ khi nằm trong bán kính 100km từ Hà Nội).","url_3ad37555f8c4_1-2-d-ch-v-s-a-ch-a-l-u-ng-vinfast-mobile-service_c001,url_3ad37555f8c4_1-3-d-ch-v-c-u-h-pin-t-i-n-vinfast-24-7_c001",approved,multi_step
"Khi gập hết các hàng ghế để mở rộng khoang chứa đồ, dung tích khoang hành lý tối đa của Minio Green so với Limo Green chênh nhau bao nhiêu lít?",Minio Green khi gập hết ghế đạt 542 L; Limo Green khi gập hàng ghế thứ ba đạt 606 L. Chênh lệch 606 - 542 = 64 L (Limo Green lớn hơn).,"url_979c49b59ecf_minio-green_c002,url_979c49b59ecf_limo-green_c002",approved,comparison
"Trong chương trình 'Chuyển đổi xanh - Rinh ngay VF 7', VinFast trao ba mẫu ô tô điện làm giải thưởng. Theo chính sách bảo hành chung của VinFast, có một mẫu xe duy nhất không được áp dụng thời hạn bảo hành tiêu chuẩn 10 năm hoặc 200.000 km. Mẫu ô tô điện nào nằm trong số giải thưởng của chương trình lại chính là ngoại lệ đó, và trị giá của nó được công bố là bao nhiêu?","Đó là VinFast VF 5 Plus. Trong chính sách bảo hành, tất cả các mẫu ô tô VinFast đều được bảo hành 10 năm hoặc 200.000 km (tùy điều kiện nào đến trước) ngoại trừ VF 5 Plus. VF 5 Plus cũng là một trong ba mẫu ô tô điện được trao làm giải thưởng của chương trình 'Chuyển đổi xanh - Rinh ngay VF 7', với trị giá được công bố là 529 triệu đồng.","url_44b5f1b8f060_t-ng-quan-t-i-n-vinfast-vf-8-2024-th-ng-s-gi-b-n-u-i-chi-ti-t_c002,url_0b7e7f59ae8f_vinfast-t-ng-27-5-t-ng-cho-kh-ch-h-ng-mua-xe-m-y-i-n_c001",approved,relational
"Trong các mẫu xe máy điện thế hệ mới của VinFast, mẫu nào có công suất động cơ tối đa lớn nhất, và mẫu đó có tốc độ tối đa bao nhiêu km/h?","Theon S có công suất động cơ tối đa lớn nhất là 7.100W (so với Evo200 1.500W, Feliz S 3.000W, Klara S 2022 3.000W, Vento S 5.200W). Theon S có tốc độ tối đa 99km/h.","url_b0d0a73c8c59_1-1-xe-m-y-i-n-vinfast-evo200-i-c-203km-sau-m-t-l-n-s-c-y_c001,url_b0d0a73c8c59_1-2-xe-m-y-i-n-vinfast-feliz-s-i-c-198km-sau-m-t-l-n-s-c-y_c001,url_b0d0a73c8c59_1-4-xe-m-y-i-n-vinfast-vento-s-i-c-160km-sau-m-t-l-n-s-c-y_c001,url_b0d0a73c8c59_1-5-xe-m-y-i-n-vinfast-theon-s-i-c-150km-sau-m-t-l-n-s-c-y_c001",approved,aggregation
"Đối với xe máy điện VinFast, dòng Theon áp dụng hình thức thanh toán phí thuê pin nào, và để thanh toán phí thuê pin đó qua ứng dụng E-Scooter thì khách hàng bắt buộc phải làm gì với email cá nhân?","Dòng Theon (cùng Ludo, Impes, Klara S) áp dụng phương thức thanh toán TRẢ TRƯỚC. Để thanh toán phí thuê pin qua ứng dụng E-Scooter, khách hàng bắt buộc phải đồng bộ Email cá nhân với ứng dụng VinFast (và tạo tài khoản bằng số điện thoại đã đăng ký sở hữu xe).","url_2f24a1b20627_1-3-m-t-s-l-u-khi-thanh-to-n-chi-ph-thu-pin-xe-m-y-i-n-vinfast_c001,url_2f24a1b20627_1-1-thanh-to-n-chi-ph-thu-pin-xe-m-y-i-n-vinfast-qua-ng-d-ng-e-scooter_c001",approved,multi_step
"Cùng là gói thuê pin xe máy điện VinFast tính tròn tháng đã gồm VAT, gói thuê 1 pin không giới hạn km có giá rẻ hơn hay đắt hơn so với gói 1 pin 220.000 VNĐ/tháng, và chênh lệch bao nhiêu?","Gói thuê 1 pin không giới hạn km có giá 175.000 VNĐ/tháng, rẻ hơn gói 1 pin 220.000 VNĐ/tháng. Chênh lệch là 220.000 - 175.000 = 45.000 VNĐ/tháng.","url_ffcc76d02607_g-i-thu-pin-tr-n-th-ng-bao-g-m-vat_c001,url_ffcc76d02607_pin-v-tr-m-s-c-xe-m-y-i-n_c002",approved,comparison
"Theo các hướng dẫn của VinFast, để có thể sử dụng dịch vụ tại hệ thống trạm sạc công cộng trên toàn quốc thì người dùng xe máy điện phải đáp ứng điều kiện gì khi tạo tài khoản trên ứng dụng E-Scooter, và đối với người dùng ô tô điện thì ứng dụng VinFast hỗ trợ tìm trạm sạc gần nhất bằng cách nào khi họ kiểm tra trạng thái Pin và Sạc?","Với xe máy điện, theo quy định người dùng phải tạo tài khoản bằng số điện thoại đã đăng ký sở hữu xe VinFast thì mới có thể sử dụng các dịch vụ tại hệ thống trạm sạc công cộng trên toàn quốc (và bắt buộc đồng bộ email cá nhân với ứng dụng). Với ô tô điện, khi người dùng truy cập tính năng Pin và Sạc ở trang chủ, ứng dụng sẽ hiển thị mức pin hiện tại của xe cùng danh sách trạm sạc gần nhất với vị trí hiện tại để người dùng theo dõi và lựa chọn sử dụng dịch vụ.","url_2f24a1b20627_1-1-thanh-to-n-chi-ph-thu-pin-xe-m-y-i-n-vinfast-qua-ng-d-ng-e-scooter_c001,url_5c078d94d02b_3-h-ng-d-n-s-d-ng-ng-d-ng-vinfast-cho-t-i-n-qu-n-l-t-nh-n-ng-pin-v-s-c_c001",approved,relational
"Cộng tổng quãng đường đi được sau một lần sạc đầy của ba mẫu có phạm vi di chuyển cao nhất (Evo200, Feliz S, Klara S 2022) là bao nhiêu km?","Evo200 đi 203km, Feliz S đi 198km, Klara S 2022 đi 194km. Tổng cộng 203 + 198 + 194 = 595km.","url_b0d0a73c8c59_1-1-xe-m-y-i-n-vinfast-evo200-i-c-203km-sau-m-t-l-n-s-c-y_c001,url_b0d0a73c8c59_1-2-xe-m-y-i-n-vinfast-feliz-s-i-c-198km-sau-m-t-l-n-s-c-y_c001,url_b0d0a73c8c59_1-3-xe-m-y-i-n-vinfast-klara-s-2022-i-c-194km-sau-m-t-l-n-s-c-y_c001",approved,aggregation
"Hệ thống trạm sạc VinFast được giới thiệu phủ sóng khoảng bao nhiêu cổng sạc trên cả nước, và nếu sạc 50 kWh tại trạm công cộng thì với đơn giá sạc hiện hành khách hàng phải trả khoảng bao nhiêu tiền (chưa tính phụ phí quá giờ)?","Hệ thống có khoảng hơn 150.000 cổng sạc phủ khắp 63 tỉnh thành. Đơn giá sạc là 3.210,9 đồng/kWh, nên sạc 50 kWh tốn khoảng 50 × 3.210,9 = 160.545 đồng (đã bao gồm VAT).","url_7954a1cb52ba_1-s-c-xe-i-n-vinfast-u_c001,url_7954a1cb52ba_2-chi-ph-s-c-xe-i-n-vinfast-t-i-c-c-tr-m-s-c-c-ng-c-ng-nh-th-n-o_c001",approved,multi_step
Nếu thuê 2 pin theo gói tròn tháng không giới hạn km thì rẻ hơn bao nhiêu mỗi tháng so với gói 2 pin 350.000 VNĐ/tháng?,Gói 2 pin không giới hạn km là 300.000 VNĐ/tháng; gói 2 pin còn lại là 350.000 VNĐ/tháng. Chênh lệch = 350.000 - 300.000 = 50.000 VNĐ/tháng (gói 300.000 rẻ hơn).,"url_ffcc76d02607_g-i-thu-pin-tr-n-th-ng-bao-g-m-vat_c001,url_ffcc76d02607_pin-v-tr-m-s-c-xe-m-y-i-n_c002",approved,comparison
"Trong quá trình bảo dưỡng định kỳ của VinFast, có một hạng mục mà cả ô tô điện VF e34 và xe máy điện VinFast đều cần kiểm tra. Hãy cho biết đó là hạng mục nào, và nêu mốc thay thế/kiểm tra cụ thể của hạng mục đó trên TỪNG loại xe (ô tô điện VF e34 và xe máy điện VinFast).","Hạng mục chung là hệ thống phanh (dầu phanh / hệ thống phanh). Trên ô tô điện VF e34: thay mới dầu phanh sau 24.000 km hoặc 24 tháng vận hành (tùy điều kiện nào đến trước), và kiểm tra hệ thống phanh tái sinh thường xuyên. Trên xe máy điện VinFast: hệ thống phanh (phanh trước, phanh sau, tay phanh) cần được kiểm tra sau mỗi 1.000 km; tay phanh cần được bôi trơn sau mỗi 6 tháng hoặc 5.000 km.","url_ce7fadbe4cec_1-2-b-o-d-ng-xe-t-i-n-vinfast_c001,url_ce7fadbe4cec_2-c-c-b-ph-n-c-n-b-o-d-ng-nh-k-tr-n-xe-m-y-i-n-vinfast_c001",approved,relational
