question,expected_answer,ground_truth_chunk_ids,review_status,hop_type
"Nếu cộng phí gói thuê pin tháng cao nhất của VinFast VF 5 Plus với phí gói thuê pin tháng cao nhất của VinFast VF 9, tổng cộng là bao nhiêu tiền mỗi tháng?",Gói cao nhất của VF 5 Plus là 2.700.000 đồng/tháng (≥3.000km) và gói cao nhất của VF 9 là 6.500.000 đồng/tháng (≥3.500km). Tổng cộng 2.700.000 + 6.500.000 = 9.200.000 đồng/tháng.,"url_1e30ea766d3e_3-ch-nh-s-ch-thu-pin-xe-i-n-linh-ho-t-c-a-vinfast_c002,url_1e30ea766d3e_3-7-ch-nh-s-ch-thu-pin-i-v-i-vinfast-vf-9_c001",approved,aggregation
"Một chiếc xe ô tô tải VinFast có tổng khối lượng hàng chuyên chở 25 tấn, sản xuất được 10 năm: lệ phí kiểm định một lần là bao nhiêu và chu kỳ kiểm định là bao nhiêu tháng?",Lệ phí kiểm định: 570.000 VNĐ (xe tải trên 20 tấn). Chu kỳ kiểm định: 12 tháng (xe sản xuất từ 7 đến 20 năm).,"url_0b0f450f89e4_2-nh-ng-i-m-m-i-v-l-ph-ng-ki-m-xe-t-n-m-2024_c001,url_0b0f450f89e4_3-chu-k-ng-ki-m-xe-t-c-c-lo-i_c001",approved,multi_step
"Đối với mốc đi từ 1.500 km trở xuống mỗi tháng, phí thuê pin dòng VF 3 theo chính sách mới đã tăng thêm bao nhiêu tiền so với chính sách áp dụng từ ngày 05/06/2024?","Tăng thêm 200.000 đồng. Theo chính sách mới, VF 3 mốc ≤1.500 km/tháng là 1.100.000 đồng; theo chính sách từ 05/06/2024 là 900.000 đồng; chênh lệch là 1.100.000 - 900.000 = 200.000 đồng.","url_665d539547bb_ch-nh-s-ch-thu-pin_c001,url_665d539547bb_ch-nh-s-ch-thu-pin-t-05-06-2024-cho-c-c-d-ng-xe-t-i-n-t-i-khi-c-th-ng-b-o-m-i_c001",approved,comparison
"Công cụ 'Thẩm định vay trả góp' trên website VinFast phê duyệt trước hạn mức vay cùng ngân hàng nào, và khi sử dụng quy trình thẩm định vay đó khách hàng có thể chứng minh mức thu nhập của mình từ bao nhiêu nguồn thu khác nhau?","Công cụ 'Thẩm định vay trả góp' phê duyệt trước hạn mức vay cùng Techcombank. Khi thực hiện thẩm định vay (ở bước Xác định nguồn thu), khách hàng có thể chứng minh mức thu nhập từ 6 nguồn thu khác nhau, gồm: nguồn thu từ lương, cho thuê nhà, cho thuê xe, từ hộ kinh doanh, tự doanh công ty và lương hưu.","url_677777284d5f_vinfast-hi-n-c-nh-ng-c-ng-c-h-tr-kh-ch-h-ng-n-o_c001,url_677777284d5f_t-i-mu-n-th-m-nh-vay-mua-xe-t-vinfast-tr-g-p-th-l-m-th-n-o_c001",approved,relational
Tính tổng số mẫu xe máy điện VinFast được nêu là có trang bị tính năng chống trộm trong tài liệu hướng dẫn?,"Có 5 mẫu: VinFast Evo200, Evo200 Lite, Feliz S (nêu ở chunk c001) và VinFast Klara S (2022), Vento S (nêu ở chunk c002). Tổng cộng 5 mẫu.","url_6b586501f473_3-c-c-m-u-xe-m-y-i-n-vinfast-trang-b-t-nh-n-ng-ch-ng-tr-m_c001,url_6b586501f473_3-c-c-m-u-xe-m-y-i-n-vinfast-trang-b-t-nh-n-ng-ch-ng-tr-m_c002",approved,aggregation
"Theo các tài liệu, dịch vụ cứu hộ pin VinFast cần được gọi khi xe cách trạm sạc công cộng gần nhất bao xa, và xe cứu hộ pin chỉ hỗ trợ trong phạm vi bán kính bao nhiêu km tính từ cửa ngõ 3 thành phố?",Cần gọi cứu hộ khi xe cách trạm sạc công cộng gần nhất hơn 10km. Xe cứu hộ pin VinFast hỗ trợ trong phạm vi bán kính 100km tính từ cửa ngõ 3 thành phố.,"url_25673e8ecccb_1-khi-n-o-c-n-g-i-c-u-h-xe-vinfast_c001,url_25673e8ecccb_2-a-i-m-thu-n-ti-n-g-i-c-u-h-pin-xe-i-n-vinfast_c001",approved,multi_step
So sánh chênh lệch giá giữa hai phiên bản VF 8 (Plus và Eco) khi không kèm pin với giá niêm yết của chiếc xe ô tô điện rẻ nhất trong các giải thưởng của chương trình 'Chuyển đổi xanh - Rinh ngay VF 7' - khoản nào lớn hơn?,"Chênh lệch giá VF 8 Plus và VF 8 Eco (không kèm pin) là 1.289.000.000 − 1.106.000.000 = 183.000.000 đồng (183 triệu). Xe ô tô điện rẻ nhất trong các giải thưởng là VinFast VF 3, trị giá 299 triệu đồng. Vậy giá VF 3 (299 triệu) lớn hơn khoản chênh lệch giữa hai bản VF 8 (183 triệu).","url_44b5f1b8f060_2-vinfast-vf-8-gi-bao-nhi-u-gi-xe-vf-8-ni-m-y-t-v-l-n-b-nh-2024_c001,url_0b7e7f59ae8f_vinfast-t-ng-27-5-t-ng-cho-kh-ch-h-ng-mua-xe-m-y-i-n_c002",approved,comparison
"Theo VinFast, trụ sạc nhanh ô tô DC 30kW được lắp đặt tại những điểm như bến xe, bãi đỗ xe và trung tâm thương mại; những điểm lắp đặt này có nằm trong nhóm vị trí mà VinFast ưu tiên đặt trạm sạc ô tô điện trên toàn quốc hay không, và hãy nêu các vị trí ưu tiên đó?","Có, các điểm lắp đặt trụ sạc nhanh DC 30kW (bến xe, bãi đỗ xe, văn phòng, trung tâm thương mại) đều thuộc nhóm vị trí ưu tiên mà VinFast đặt trạm sạc ô tô điện. Các vị trí ưu tiên gồm: bãi đỗ xe, bến xe; trạm dừng nghỉ, trạm đổ xăng dầu; trung tâm thương mại; chung cư, tòa nhà văn phòng; cao tốc, quốc lộ; và các địa điểm phù hợp khác trên toàn quốc.","url_d2a862334753_2-tr-m-s-c-vinfast-t-ti-u-chu-n-ch-u-u-an-to-n-cho-ng-i-s-d-ng_c002,url_d2a862334753_1-vinfast-v-k-ho-ch-ph-xanh-tr-m-s-c-kh-p-vi-t-nam_c001",approved,relational
"Theo chính sách bảo hành VinFast, xe VF 8 được bảo hành chính xe 10 năm hoặc 200.000 km; vậy pin cao áp mua theo xe mới của VF 8 được bảo hành bao lâu, và phụ kiện chính hãng (loại không phải móc kéo/bậc lên xuống/giá đỡ hành lý) được bảo hành bao lâu?","Pin cao áp mua theo xe mới của VF 8 được bảo hành 10 năm hoặc 200.000 km (tùy điều kiện nào đến trước). Phụ kiện chính hãng (không gồm móc kéo xe, bậc lên xuống xe, giá đỡ hành lý) được bảo hành 2 năm không giới hạn số km kể từ ngày mua.","url_7f921895430c_s-b-o-h-nh-xe-m-y-i-n-pin-kh-c_c001,url_7f921895430c_s-b-o-h-nh-xe-m-y-i-n-pin-kh-c_c005",approved,aggregation
Mẫu ô tô điện VinFast nào có thể dùng bộ sạc di động 2.2kW và 3.5kW lại đồng thời là mẫu được mô tả có hệ thống 8 loa ở bản Eco và 10 loa ở bản Plus?,"Đó là VinFast VF 8. Bộ sạc di động 2.2kW và 3.5kW dùng cho các dòng đang mở bán gồm VF e34, VF 8 và VF 9; trong đó VF 8 là mẫu được mô tả có hệ thống 8 loa (bản Eco) và 10 loa (bản Plus).","url_55a1dfb5ff8e_2-l-u-trong-l-n-u-s-d-ng-b-s-c-di-ng-t-i-n-vinfast-t-i-nh_c001,url_3e11bd7e6344_4-xe-t-i-n-vinfast-vf-8_c001",approved,multi_step
"Dịch vụ cứu hộ pin ô tô điện VinFast 24/7 được triển khai trong phạm vi bán kính 100km tính từ cửa ngõ 3 thành phố. Vậy trong số 3 thành phố đó, thành phố nào KHÔNG nằm trong danh sách 5 thành phố lớn được áp dụng dịch vụ sửa chữa lưu động (VinFast Mobile Service)?","Cả 3 thành phố của dịch vụ cứu hộ pin (Hà Nội, Đà Nẵng, Hồ Chí Minh) đều nằm trong danh sách 5 thành phố áp dụng Mobile Service (Hà Nội, TP. Hồ Chí Minh, Hải Phòng, Đà Nẵng, Cần Thơ). Do đó KHÔNG có thành phố nào trong 3 thành phố cứu hộ pin bị thiếu khỏi danh sách Mobile Service.","url_3ad37555f8c4_1-3-d-ch-v-c-u-h-pin-t-i-n-vinfast-24-7_c001,url_3ad37555f8c4_1-2-d-ch-v-s-a-ch-a-l-u-ng-vinfast-mobile-service_c001",approved,comparison
"Theo các tài liệu về xe máy điện VinFast, hãy liệt kê đầy đủ các mốc thời hạn bảo hành được nêu: thời hạn bảo hành tổng thể cho cả chiếc xe máy điện, thời hạn bảo hành riêng cho Pin, và thời hạn bảo hành riêng cho Ắc quy chì a-xít lần lượt là bao nhiêu?","Thời hạn bảo hành tổng thể cho Xe Máy Điện VinFast là 5 năm (không giới hạn km). Trong đó, Pin có thời hạn bảo hành 3 năm và Ắc quy chì a-xít có thời hạn bảo hành 1 năm.","url_bc565884e819_c-u-h-i-th-ng-g-p-v-xe-m-y-i-n-vinfast_c002,url_bc565884e819_i-u-ki-n-v-quy-nh-b-o-h-nh-ph-t-ng-xe-m-y-i-n-vinfast-nh-th-n-o_c001",approved,aggregation
"Khi nâng cấp từ VinFast Feliz lên Feliz S, tốc độ tối đa tăng thêm bao nhiêu km/h, và đồng thời khối lượng xe thay đổi như thế nào?","Tốc độ tối đa tăng từ 60 km/h (Feliz) lên 78 km/h (Feliz S), tức tăng 18 km/h. Khối lượng giảm từ 126 kg (Feliz, gồm ắc quy) xuống 110 kg (Feliz S, gồm pin LFP), tức nhẹ hơn 16 kg.","url_7ac9bfdac40c_2-1-ng-c-xe-m-y-i-n-vinfast-feliz-v-feliz-s_c001,url_7ac9bfdac40c_so-s-nh-xe-m-y-i-n-vinfast-feliz-v-feliz-s-m-i-nh-t_c002",approved,multi_step
"So sánh quãng đường di chuyển: sau khi được cứu hộ pin ô tô điện VinFast (sạc 15 phút), xe đi được khoảng bao nhiêu km tới điểm sạc gần nhất, và con số đó so với quãng đường mà một bộ pin xe máy điện không có bàn đạp (công suất 2,7 đến 3,6kg) đi được thì cái nào ngắn hơn?","Cứu hộ pin VinFast: sạc 15 phút đủ đi khoảng 30km. Pin xe máy điện không bàn đạp (2,7-3,6kg) đi được 32km ở tốc độ 32km/h. Vậy 30km (sau cứu hộ pin) ngắn hơn 32km (pin xe máy điện không bàn đạp).","url_3ad37555f8c4_1-3-d-ch-v-c-u-h-pin-t-i-n-vinfast-24-7_c001,url_90e408979c97_nh-ng-y-u-t-nh-gi-pin-i-n_c001",approved,comparison
"Cộng gộp các trạm sạc được liệt kê trong bảng tổng hệ thống trạm sạc VinFast Hà Nội (mở đầu bằng quận Cầu Giấy) và bảng trạm sạc quận Ba Đình, có tất cả bao nhiêu trạm sạc phục vụ đồng thời cả ô tô điện lẫn xe máy điện, và đó là những trạm nào?",Có 3 trạm phục vụ đồng thời cả ô tô điện và xe máy điện. Trong bảng quận Cầu Giấy có 2 trạm: Trung tâm thương mại Big C Thăng Long và Chung cư Discovery Complex hầm B3. Trong bảng quận Ba Đình có 1 trạm: Vincom Center Metropolis. Tổng cộng 3 trạm.,"url_aae5676e6175_2-danh-s-ch-h-th-ng-tr-m-s-c-vinfast-h-n-i_c001,url_aae5676e6175_2-1-danh-s-ch-tr-m-s-c-vinfast-qu-n-ba-nh-tp-h-n-i_c001",approved,aggregation
"Theo báo cáo về Tổ hợp sản xuất ô tô VinFast tại Cát Hải - Hải Phòng, loại rủi ro thiên nhiên nào được xếp ở mức cao với tần suất dự kiến từ ba đến năm lần mỗi năm, và đặc điểm vị trí nào của dự án (về phần giáp biển và diện tích lấn biển) giải thích vì sao rủi ro này lại đáng kể đến vậy?","Rủi ro thiên nhiên ở mức cao là bão và ngập lụt do bão, với tần suất dự kiến từ ba đến năm cơn bão hoặc hệ thống áp thấp nhiệt đới mỗi năm (có đê bảo vệ nhưng vẫn còn đe dọa). Đặc điểm vị trí giải thích cho rủi ro này: dự án nằm trên đảo Cát Hải với khoảng 335ha, trong đó 145ha là diện tích lấn biển, phía Nam giáp biển, khu vực tương đối bằng phẳng, hệ thống thoát nước kém và mực nước ngầm nông.","url_b694fad2baba_3-ti-n-v-hi-n-tr-ng-th-c-hi-n-d-n_c003,url_b694fad2baba_2-th-ng-tin-chung-c-a-d-n_c001",approved,multi_step
"Trong các bảng danh mục bảo dưỡng định kỳ, dung dịch làm mát động cơ được quy định thay thế ở hai mốc khác nhau tùy bảng. Hai mốc quãng đường đó là bao nhiêu và chênh lệch giữa chúng là bao nhiêu km?",Một bảng quy định thay dung dịch làm mát động cơ sau mỗi 240.000Km hoặc 5 năm; bảng còn lại quy định thay sau mỗi 100.000Km hoặc 36 tháng. Chênh lệch giữa hai mốc quãng đường là 240.000 - 100.000 = 140.000Km.,"url_9b3f117fc554_danh-m-c-b-o-d-ng-nh-k_c003,url_9b3f117fc554_danh-m-c-b-o-d-ng-nh-k_c005",approved,comparison
Hãy liệt kê đầy đủ tên các mẫu ô tô điện (loại 4 bánh) mà VinFast đem trao làm giải thưởng trong chương trình 'Chuyển đổi xanh - Rinh ngay VF 7'; trong số những mẫu này có mẫu VinFast VF 8 đang được bán với 2 phiên bản Eco và Plus không?,"Các mẫu ô tô điện được trao làm giải thưởng gồm 3 mẫu: VinFast VF 7 Eco, VinFast VF 5 Plus và VinFast VF 3. VinFast VF 8 (mẫu SUV hạng D có 2 phiên bản Eco và Plus, giá khởi điểm từ 1,106 tỷ đồng) KHÔNG nằm trong danh sách giải thưởng của chương trình.","url_0b7e7f59ae8f_vinfast-t-ng-27-5-t-ng-cho-kh-ch-h-ng-mua-xe-m-y-i-n_c001,url_44b5f1b8f060_t-ng-quan-t-i-n-vinfast-vf-8-2024-th-ng-s-gi-b-n-u-i-chi-ti-t_c001",approved,aggregation
"Loại sạc treo tường (gắn tường) mà VinFast chính thức bán cho ô tô điện có giá bao nhiêu, và với loại sạc đó thì sạc từ 10% tới 70% mất khoảng bao lâu?","Loại sạc treo tường VinFast chính thức bán là bộ sạc 7,4kW, có giá 10,8 triệu đồng (đã bao gồm VAT). Với loại sạc tại nhà 7,4kW này, thời gian sạc từ 10% tới 70% là khoảng 220 phút.","url_8eb05fc580e3_c-u-h-i-th-ng-g-p-v-thu-pin-v-s-c-pin-t-i-n-vinfast_c002,url_8eb05fc580e3_th-i-gian-s-c-c-a-c-c-lo-i-s-c-t-i-n-vinfast-vf-nerio-green-nh-th-n-o_c001",approved,multi_step
"Theo bài viết về bảo hiểm bắt buộc ô tô, mức phí bảo hiểm trách nhiệm dân sự được giới thiệu dao động từ 437.000 đến 4.850.000 VNĐ; vậy trong bảng mức phí cụ thể, loại xe ô tô không kinh doanh vận tải dưới 6 chỗ ngồi có nằm ở mức thấp nhất của khoảng phí này không?","Có. Khoảng phí được giới thiệu là từ 437.000 đến 4.850.000 VNĐ, và trong bảng mức phí cụ thể, loại xe ô tô không kinh doanh vận tải dưới 6 chỗ ngồi có mức phí 437.000 VNĐ — trùng đúng với cận dưới (mức thấp nhất) của khoảng phí này.","url_205448e5c229_ph-b-o-hi-m-b-t-bu-c-t-v-tr-ch-nhi-m-d-n-s-m-i-nh-t_c001,url_205448e5c229_3-m-c-ph-b-o-hi-m-b-t-bu-c-t_c001",approved,comparison
"VinFast triển khai mấy dịch vụ cứu hộ/hậu mãi cho ô tô điện, hãy liệt kê đầy đủ tên các dịch vụ đó; và trong số đó, dịch vụ nào áp dụng một mức phí cố định, mức phí là bao nhiêu?","VinFast triển khai 3 dịch vụ cho ô tô điện: (1) Dịch vụ cứu hộ VinFast 24/7, (2) Dịch vụ sửa chữa lưu động (VinFast Mobile Service), và (3) Dịch vụ cứu hộ pin ô tô điện VinFast 24/7. Trong ba dịch vụ này, chỉ dịch vụ cứu hộ pin ô tô điện áp dụng một mức phí cố định là 300.000 VNĐ (sạc 15 phút đủ đi khoảng 30km tới điểm sạc gần nhất). Hai dịch vụ còn lại không có mức phí cố định: cứu hộ 24/7 được miễn phí trong thời gian bảo hành, còn Mobile Service là dịch vụ gia tăng đặt lịch theo nhu cầu.","url_3ad37555f8c4_1-1-d-ch-v-c-u-h-vinfast-24-7_c001,url_3ad37555f8c4_1-2-d-ch-v-s-a-ch-a-l-u-ng-vinfast-mobile-service_c001,url_3ad37555f8c4_1-3-d-ch-v-c-u-h-pin-t-i-n-vinfast-24-7_c001",approved,aggregation
"Đối với trụ sạc công suất cao nhất trong các loại sạc của VinFast (300 kW), nút dừng sạc khẩn cấp khi có sự cố nằm ở đâu, và sau khoảng 18 phút sạc thì xe đi được quãng đường khoảng bao nhiêu?","Trụ sạc siêu nhanh 300 kW (Superchargers 300 kW) là loại công suất cao nhất. Nút dừng sạc khẩn cấp của trụ sạc siêu nhanh 150kW và 300kW nằm ngay bên hông của trụ sạc. Sau khoảng 18 phút sạc, xe đi được khoảng 180 km.","url_8eb05fc580e3_c-u-h-i-th-ng-g-p-v-thu-pin-v-s-c-pin-t-i-n-vinfast_c001,url_8eb05fc580e3_th-i-gian-s-c-c-a-c-c-lo-i-s-c-t-i-n-vinfast-vf-nerio-green-nh-th-n-o_c001",approved,multi_step
"Khi mua một chiếc ô tô điện chạy pin mới đăng ký lần đầu vào tháng 1/2024, lệ phí trước bạ phải đóng là bao nhiêu phần trăm, và con số đó chênh lệch thế nào so với mức lệ phí trước bạ áp dụng cho ô tô đã qua sử dụng?",Ô tô điện chạy pin đăng ký lần đầu tháng 1/2024 (nằm trong giai đoạn 1/3/2022–28/2/2025) chịu mức lệ phí trước bạ 0%. Ô tô đã qua sử dụng chịu mức 2%. Vì vậy ô tô điện mới này thấp hơn 2 điểm phần trăm so với xe đã qua sử dụng (0% so với 2%).,"url_6b29d37e1ba6_2-1-thu-tr-c-b-t-bao-nhi-u-ph-n-tr-m-theo-quy-nh-m-i_c001,url_6b29d37e1ba6_2-2-m-c-thu-l-ph-tr-c-b-i-v-i-v-i-t-ch-c-c-nh-n-mua-t-qua-s-d-ng_c001",approved,comparison
"Đối với những dòng xe máy điện VinFast áp dụng phương thức thanh toán phí thuê pin trả trước, hãy liệt kê đầy đủ các dòng xe đó và nêu hai hình thức (kênh) mà khách hàng có thể dùng để thanh toán chi phí thuê pin theo hướng dẫn của VinFast.","Các dòng xe máy điện áp dụng thanh toán trả trước gồm: Ludo, Impes, Klara S và Theon. Hai hình thức/kênh thanh toán chi phí thuê pin là: (1) thanh toán qua ứng dụng VinFast E-Scooter trên điện thoại, và (2) thanh toán trực tiếp tại hệ thống Showroom và đại lý ủy quyền VinFast.","url_2f24a1b20627_1-3-m-t-s-l-u-khi-thanh-to-n-chi-ph-thu-pin-xe-m-y-i-n-vinfast_c001,url_2f24a1b20627_1-1-thanh-to-n-chi-ph-thu-pin-xe-m-y-i-n-vinfast-qua-ng-d-ng-e-scooter_c001,url_2f24a1b20627_1-2-thanh-to-n-chi-ph-tr-c-ti-p-t-i-c-c-showroom-i-l-y-quy-n-vinfast_c001",approved,aggregation
"Khi xe ô tô điện VinFast gặp sự cố phải kéo xe, dịch vụ cứu hộ 24/7 được miễn phí dựa trên điều kiện/mốc bảo hành nào; còn nếu xe chỉ hết pin trên đường thì khách hàng phải trả bao nhiêu tiền và được sạc trong bao lâu?","Dịch vụ cứu hộ VinFast 24/7 (kéo xe) được miễn phí trong suốt thời gian bảo hành, và VinFast áp dụng mức bảo hành 10 năm hoặc 200.000km (tùy điều kiện nào đến trước) cho tất cả các dòng ô tô. Ngược lại, nếu xe chỉ hết pin trên đường thì dùng dịch vụ cứu hộ pin ô tô điện với mức phí 300.000 VNĐ, được sạc trong 15 phút (đủ đi khoảng 30km tới điểm sạc gần nhất).","url_3ad37555f8c4_1-1-d-ch-v-c-u-h-vinfast-24-7_c001,url_3ad37555f8c4_1-3-d-ch-v-c-u-h-pin-t-i-n-vinfast-24-7_c001",approved,multi_step
